target_id,field,source_value,source_valid,protocol_code,decoded_value,decoded_valid,absolute_error/tolerance,passed
a48850,lat,48.3902,True,3224725,48.390216443590276,True,1.64436e-05/4.29154e-05,True
a48850,lon,9.4747,True,2207540,9.474723213845039,True,2.32138e-05/8.58307e-05,True
a48850,altitude,11887.2,True,12887,11887.0,True,0.2/1,True
a48850,speed,241.82,True,2418,241.8,True,0.02/0.1,True
a48850,heading,152.78,True,15278,152.78,True,0/0.01,True
a48850,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
a48850,callsign,UPS266,True,,UPS266,True,N/A,True
896175,lat,45.5435,True,3158392,45.543512235525185,True,1.22355e-05/4.29154e-05,True
896175,lon,5.0463,True,2155945,5.046287786075538,True,1.22139e-05/8.58307e-05,True
896175,altitude,10972.8,True,11973,10973.0,True,0.2/1,True
896175,speed,256.15,True,2561,256.1,True,0.05/0.1,True
896175,heading,109.96,True,10996,109.96000000000001,True,1.42109e-14/0.01,True
896175,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
896175,callsign,UAE4M,True,,UAE4M,True,N/A,True
3849ff,lat,47.5864,True,3205995,47.58641185436531,True,1.18544e-05/4.29154e-05,True
3849ff,lon,7.5318,True,2184903,7.531773455565798,True,2.65444e-05/8.58307e-05,True
3849ff,altitude,,False,0,,False,N/A,True
3849ff,speed,12.35,True,123,12.3,True,0.05/0.1,True
3849ff,heading,300.94,True,30094,300.94,True,0/0.01,True
3849ff,vertical_rate,,False,0,,False,N/A,True
3849ff,callsign,M02,True,,M02,True,N/A,True
407fac,lat,48.9159,True,3236974,48.91588662049452,True,1.33795e-05/4.29154e-05,True
407fac,lon,9.0408,True,2202484,9.040763149443421,True,3.68506e-05/8.58307e-05,True
407fac,altitude,11582.4,True,12582,11582.0,True,0.4/1,True
407fac,speed,228.42,True,2284,228.4,True,0.02/0.1,True
407fac,heading,300.9,True,30090,300.90000000000003,True,5.68434e-14/0.01,True
407fac,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
407fac,callsign,TOM8VC,True,,TOM8VC,True,N/A,True
3c815e,lat,48.6854,True,3231603,48.6853882516356,True,1.17484e-05/4.29154e-05,True
3c815e,lon,9.2005,True,2204345,9.200494098781121,True,5.90122e-06/8.58307e-05,True
3c815e,altitude,,False,0,,False,N/A,True
3c815e,speed,1.29,True,13,1.3,True,0.01/0.1,True
3c815e,heading,70.31,True,7031,70.31,True,0/0.01,True
