frame_index,message_seq,target_id,timestamp,checksum,expected_checksum,message_valid,validation_errors
1,1,a48850,1786673155,2594,2594,True,
2,2,896175,1786673154,2691,2691,True,
3,3,3849ff,1786673154,2292,2292,True,
4,4,407fac,1786673154,2768,2768,True,
5,5,3c815e,1786673142,2177,2177,True,
6,6,7c8066,1786673154,2625,2625,True,
7,7,45ce47,1786673154,2667,2667,True,
8,8,3c5434,1786673154,2346,2346,True,
9,9,4b5d62,1786673153,2565,2565,True,
10,10,4b5d54,1786673154,2205,2205,True,
11,11,4b5d6e,1786673139,2635,2635,True,
12,12,4b5c39,1786673149,2513,2513,True,
13,13,4b5c1b,1786673153,2415,2415,True,
14,14,48ea3a,1786673155,2587,2587,True,
15,15,424cbf,1786673154,2628,2628,True,
16,16,a61c53,1786673154,2826,2826,True,
17,17,8966d5,1786673154,2388,2388,True,
18,18,4d253b,1786673154,2529,2529,True,
19,19,45b534,1786673153,2424,2424,True,
20,20,4d240c,1786673153,2662,2662,True,
21,21,ad35c8,1786673154,2539,2539,True,
22,22,3889ff,1786673155,2068,2068,True,
23,23,4b17fd,1786673098,2695,2695,True,
24,24,a48850,1786673159,2746,2746,True,
25,25,896175,1786673159,2806,2806,True,
26,26,3849ff,1786673159,2451,2451,True,
27,27,407fac,1786673158,3020,3020,True,
28,28,3c815e,1786673142,2200,2200,True,
29,29,7c8066,1786673159,2819,2819,True,
30,30,45ce47,1786673160,2696,2696,True,
31,31,3c5434,1786673159,2375,2375,True,
32,32,4b5d62,1786673156,2590,2590,True,
33,33,4b5d54,1786673159,2234,2234,True,
34,34,4b5d6e,1786673158,2390,2390,True,
35,35,4b5c39,1786673156,2255,2255,True,
36,36,4b5c1b,1786673154,2335,2335,True,
37,37,440b61,1786673159,2619,2619,True,
38,38,48ea3a,1786673159,2853,2853,True,
39,39,424cbf,1786673159,2770,2770,True,
40,40,a61c53,1786673158,2746,2746,True,
41,41,8966d5,1786673159,2560,2560,True,
42,42,4d253b,1786673159,2567,2567,True,
43,43,45b534,1786673158,2905,2905,True,
44,44,4d240c,1786673159,2762,2762,True,
45,45,ad35c8,1786673159,2882,2882,True,
46,46,3889ff,1786673159,2336,2336,True,
47,47,4b17fd,1786673098,2717,2717,True,
48,48,a48850,1786673173,2654,2654,True,
49,49,896175,1786673173,2829,2829,True,
50,50,3849ff,1786673173,2564,2564,True,
51,51,407fac,1786673172,2711,2711,True,
52,52,3c815e,1786673173,2111,2111,True,
53,53,7c8066,1786673173,2885,2885,True,
54,54,45ce47,1786673173,2576,2576,True,
55,55,3c5434,1786673173,2630,2630,True,
56,56,4b5d62,1786673173,2650,2650,True,
57,57,4b5d54,1786673173,2295,2295,True,
58,58,4b5d6e,1786673163,2508,2508,True,
59,59,4b5c39,1786673173,2277,2277,True,
60,60,4b5c1b,1786673172,2301,2301,True,
61,61,440b61,1786673173,2392,2392,True,
62,62,48ea3a,1786673174,2550,2550,True,
63,63,424cbf,1786673173,2869,2869,True,
64,64,a61c53,1786673173,2743,2743,True,
65,65,8966d5,1786673173,2444,2444,True,
66,66,4d253b,1786673174,2887,2887,True,
67,67,45b534,1786673173,2686,2686,True,
68,68,4d240c,1786673173,2808,2808,True,
69,69,ad35c8,1786673174,3006,3006,True,
70,70,3889ff,1786673173,2327,2327,True,
71,71,4b17fd,1786673098,2744,2744,True,
